202502	202641	223
202377	202667	342
199125	202686	342
202695	387589	443
202680	751457	509
749524	749713	287
749542	749688	287
743412	749699	393
525538	749738	509
1308	749711	509
472177	472381	263
472343	472390	245
465954	472436	413
324135	472383	449
18863	472340	449
829866	829998	282
829625	830008	344
824878	830016	419
757324	830036	468
453049	829976	509
584371	584409	222
584197	584396	266
574618	584465	434
281638	584469	470
288287	584465	470
758278	758423	362
757760	758387	287
750087	758412	424
232381	758411	509
756000	758451	362
32904	33161	267
32310	33121	267
26498	33175	308
33119	192666	383
33125	372120	443
60073	60290	317
59670	60298	317
59507	60264	317
58493	60323	317
60289	637413	509
994022	994140	166
993955	994184	228
985675	994161	396
25461	994134	525
28972	994104	525
738786	738969	424
738715	738983	424
731563	738963	424
523923	739017	509
23376	739000	509
328440	328644	260
328210	328653	260
323367	328641	384
328673	510175	449
295889	328666	384
760481	760757	331
760055	760785	380
753170	760740	424
141884	760804	509
47893	760772	509
7112	7260	195
6863	7222	257
5921	7283	262
7285	686862	509
7301	26288	282
511607	511821	302
511518	511810	302
508207	511883	377
428659	511876	444
488610	511857	426
885115	885191	295
884498	885211	295
882131	885236	370
863759	885215	432
106608	885216	525
785823	785974	300
785063	785954	375
782677	785990	375
171087	785990	509
155893	785957	509
14978	15077	271
14597	15058	271
9029	15085	276
15079	925889	525
15123	546082	470
918073	918091	202
917967	918129	339
908499	918098	476
94009	918128	525
146337	918148	525
948413	948643	326
948539	948602	202
945705	948654	383
197223	948597	525
672072	948640	525
500510	500599	258
499890	500591	364
496703	500636	395
113713	500588	449
262940	500623	449
203835	204027	280
204041	204091	205
198372	204091	342
204078	666928	509
204081	563051	470
207770	207819	249
207457	207738	311
205077	207750	373
207784	587644	470
121948	207744	383
532874	532909	209
532530	532910	377
527285	532881	377
316557	532929	470
461436	532960	470
877760	877871	295
876824	877812	401
869906	877801	432
55673	877833	525
689411	877832	525
465896	465965	232
465145	466006	369
463281	465913	369
465952	493184	426
70703	465924	449
488595	488667	258
488614	488627	245
484814	488629	382
375573	488676	449
383644	488665	449
273953	274174	314
273700	274247	358
271587	274249	358
188498	274201	443
274269	540353	470
158624	158750	308
158475	158772	308
155470	158699	383
158720	674009	509
158741	686581	509
100558	100772	266
99980	100773	341
96521	100796	341
100763	439874	449
100775	536095	470
698966	699092	274
698160	699006	305
695215	699041	367
478400	699051	509
564039	699066	509
905189	905311	233
905247	905269	233
897815	905263	401
804853	905254	525
84999	905312	525
951309	951310	127
950691	951293	414
949021	951245	414
461790	951265	525
752247	951240	525
995857	995950	290
995975	996015	215
991038	995973	365
282402	995968	525
879915	996031	507
69839	70002	250
69945	70016	281
67769	69933	312
70015	231232	443
69960	72034	325
433205	433371	250
432992	433336	325
423592	433285	418
290072	433352	449
144700	433348	449
969441	969648	321
969589	969620	321
967519	969595	352
830761	969583	525
770797	969594	525
87197	87265	165
86823	87225	333
77590	87219	338
87249	484406	449
87259	97793	333
728505	728532	287
728498	728523	287
725241	728532	349
163256	728546	509
525287	728521	509
441910	442189	294
441431	442208	294
434359	442200	400
32472	442205	449
442239	446836	356
397601	397870	224
397329	397903	268
389672	397873	405
190426	397854	443
397883	507210	449
370149	370297	392
369915	370223	392
366323	370245	392
5685	370234	443
370222	493150	449
32985	33071	267
32580	33054	267
25805	33051	308
33021	518465	470
12143	33039	308
428355	428582	281
428328	428524	281
419441	428578	418
6203	428566	449
375612	428601	449
259562	259762	301
258823	259699	301
254283	259746	363
226636	259771	443
259697	705211	509
789847	790107	269
789136	790091	406
787081	790159	406
159438	790146	509
94659	790098	509
903415	903478	233
902490	903438	383
899728	903500	401
105747	903506	525
327074	903466	525
860213	860486	357
859778	860485	357
852367	860458	419
84912	860482	525
471295	860474	525
411162	411287	219
410894	411303	312
403526	411334	449
230647	411350	449
139619	411376	449
823504	823564	220
823335	823479	326
814722	823519	450
263708	823531	509
170553	823554	509
346027	346236	260
345608	346284	441
336590	346250	441
346237	587715	470
146482	346202	443
445738	445843	325
444931	445814	338
435950	445812	400
53078	445770	449
21621	445810	449
699422	699548	305
698710	699588	367
697630	699548	367
364724	699553	509
485548	699630	509
954922	955107	308
954955	955144	308
947956	955133	414
193116	955069	525
938971	955128	507
812014	812265	362
811497	812305	362
812105	812335	357
434259	812276	509
678022	812317	504
163010	163045	202
162870	163105	246
161404	163107	339
163076	246070	443
163109	301133	443
769239	769477	393
768945	769493	393
759951	769476	468
181315	769458	509
71829	769432	509
606210	606376	235
605337	606295	341
597482	606388	403
393391	606356	470
94417	606330	470
31216	31321	254
31095	31291	254
30721	31306	254
31300	32941	285
17118	31265	308
432580	432612	206
432170	432593	325
430449	432569	343
274165	432601	449
432581	512476	470
503713	503955	320
503924	503935	183
496884	503974	426
438377	503959	444
25766	503921	449
900539	900828	401
900689	900844	401
891953	900812	401
14681	900781	525
14200	900867	525
735217	735338	256
734849	735275	243
731132	735339	380
294468	735336	509
364636	735278	509
291305	291494	296
291203	291405	296
290080	291485	327
121793	291460	443
166346	291411	443
782810	783097	300
782097	783095	331
774804	783102	437
485383	783157	509
179449	783172	509
263711	263843	270
263492	263854	270
258353	263859	407
31495	263876	443
87827	263903	443
424098	424193	281
423768	424260	312
417848	424203	418
219877	424212	449
135422	424165	449
393223	393379	299
393272	393418	299
388414	393354	436
159639	393350	443
66732	393394	443
21660	21813	207
21564	21803	207
21413	21852	238
21870	609638	470
21871	924920	525
409630	409781	281
409578	409795	281
401865	409844	405
148652	409761	443
202490	409840	443
912561	912605	194
912278	912623	401
903523	912558	476
194422	912552	525
855725	912634	476
327821	328049	322
327850	328110	322
325105	328018	340
328080	512529	470
328092	516813	470
320929	321146	353
320261	321169	371
317035	321134	371
134666	321165	443
71162	321192	443
12295	12334	188
12078	12367	263
3876	12365	268
12276	136053	354
12312	800679	509
41271	41316	182
40489	41369	288
38474	41378	306
41360	618728	470
41306	171807	383
100508	100669	266
100522	100585	235
92128	100581	341
100596	868465	525
100666	192456	383
671947	672106	336
671863	672141	336
671354	672154	336
33236	672082	509
452489	672159	509
930310	930571	264
929775	930550	339
929296	930530	339
74586	930524	525
262328	930508	525
769733	769852	331
769102	769906	393
762171	769900	468
225387	769853	509
490082	769874	509
989926	990163	290
989871	990212	290
983666	990243	427
757789	990156	525
583888	990211	525
627406	627628	279
626670	627623	310
622729	627681	509
193717	627662	509
303983	627613	509
614759	614947	279
614622	614962	279
608115	614880	359
588604	614917	403
364878	614909	470
412555	412564	175
411931	412583	312
405269	412621	449
12962	412584	449
308097	412560	449
821438	821668	375
821435	821632	375
813892	821663	450
53879	821664	509
405	821640	509
537406	537442	240
537307	537399	302
535682	537432	377
337797	537464	470
436732	537471	470
180786	180923	241
180047	180907	365
172024	180970	365
180929	627627	509
180971	270404	443
537311	537361	253
536536	537366	377
527815	537331	377
8008	537372	470
59564	537313	470
603007	603288	279
602739	603256	266
599813	603304	403
283746	603269	470
487220	603257	470
347381	347677	273
346862	347700	322
340127	347678	441
47240	347654	443
317055	347627	441
419330	419384	219
418879	419306	237
411730	419335	387
292728	419379	449
419383	494442	444
267656	267910	301
267659	267988	301
262404	267930	407
154291	267920	443
267972	540469	470
395149	395245	162
394930	395318	312
394262	395305	405
264804	395261	441
395292	425113	449
291956	292167	252
292015	292234	296
289791	292225	327
171312	292172	443
160084	292230	443
999209	999407	396
999253	999409	396
990566	999374	440
555272	999389	525
953262	999382	458
725267	725427	287
724534	725379	362
715841	725449	411
575398	725447	509
100271	725461	509
941274	941555	339
941327	941564	339
940714	941541	339
510713	941599	525
784567	941550	525
445519	445667	294
445293	445679	294
442043	445694	356
143512	445743	449
332542	445653	449
969743	969916	321
969619	969894	321
967906	969991	352
843904	969973	507
753165	969961	525
941824	942089	246
941831	942014	246
937061	942092	507
40908	942054	525
644649	942040	525
847466	847697	282
846942	847637	419
840648	847669	419
41909	847628	525
578697	847661	525
834736	834766	189
834492	834776	313
830327	834742	419
628174	834716	504
650748	834710	504
227879	228118	337
227322	228132	337
221984	228125	368
1471	228112	386
129206	228097	386
577867	577959	235
577688	577925	253
569131	577932	390
336971	577939	470
36231	577945	470
809812	809994	344
809315	809987	344
801352	810026	406
148178	810044	509
603801	809970	509
20545	20548	150
19625	20523	274
18196	20581	274
20542	450595	449
20520	297729	443
